ros [ns],orocos [ms]
1452608842875950000,1452608842877
1452608842877940000,1452608842879
1452608842879970000,1452608842881
1452608842881960000,1452608842883
1452608842883950000,1452608842885
1452608842885960000,1452608842887
1452608842887940000,1452608842889
1452608842889980000,1452608842891
1452608842891970000,1452608842893
1452608842893950000,1452608842895
1452608842895950000,1452608842897
1452608842897940000,1452608842899
1452608842899940000,1452608842901
1452608842901960000,1452608842903
1452608842903950000,1452608842905
1452608842905950000,1452608842907
1452608842907940000,1452608842909
1452608842909980000,1452608842911
1452608842911960000,1452608842913
1452608842913950000,1452608842915
1452608842915960000,1452608842917
1452608842917940000,1452608842919
1452608842920080000,1452608842921
1452608842921950000,1452608842923
1452608842923950000,1452608842925
1452608842925950000,1452608842927
1452608842927940000,1452608842929
1452608842929960000,1452608842931
1452608842931950000,1452608842933
1452608842933950000,1452608842935
1452608842935950000,1452608842937
1452608842937940000,1452608842939
1452608842939980000,1452608842941
1452608842941960000,1452608842943
1452608842943950000,1452608842945
1452608842945950000,1452608842947
1452608842947940000,1452608842949
1452608842949970000,1452608842951
1452608842951970000,1452608842953
1452608842953980000,1452608842955
1452608842955950000,1452608842957
1452608842957940000,1452608842959
1452608842959970000,1452608842961
1452608842961950000,1452608842963
1452608842963950000,1452608842965
1452608842965960000,1452608842967
1452608842967940000,1452608842969
1452608842969970000,1452608842971
1452608842971960000,1452608842973
1452608842973950000,1452608842975
1452608842975960000,1452608842977
1452608842977940000,1452608842979
1452608842979970000,1452608842981
1452608842982000000,1452608842983
1452608842983970000,1452608842985
1452608842985960000,1452608842987
1452608842987940000,1452608842989
1452608842989980000,1452608842991
1452608842991970000,1452608842993
1452608842993950000,1452608842995
1452608842995950000,1452608842997
1452608842997940000,1452608842999
1452608842999970000,1452608843001
1452608843001960000,1452608843003
1452608843003950000,1452608843005
1452608843005950000,1452608843007
1452608843007940000,1452608843009
1452608843009970000,1452608843011
1452608843011950000,1452608843013
1452608843013950000,1452608843015
1452608843015950000,1452608843017
1452608843017940000,1452608843019
1452608843019970000,1452608843021
1452608843021960000,1452608843023
1452608843023950000,1452608843025
1452608843025950000,1452608843027
1452608843027940000,1452608843029
1452608843029970000,1452608843031
1452608843031950000,1452608843033
1452608843033950000,1452608843035
1452608843035960000,1452608843037
1452608843037940000,1452608843039
1452608843039970000,1452608843041
1452608843041950000,1452608843043
1452608843043950000,1452608843045
1452608843045950000,1452608843047
1452608843047940000,1452608843049
1452608843049970000,1452608843051
1452608843051960000,1452608843053
1452608843053950000,1452608843055
1452608843055950000,1452608843057
1452608843057940000,1452608843059
1452608843059970000,1452608843061
1452608843061950000,1452608843063
1452608843063950000,1452608843065
1452608843065950000,1452608843067
1452608843067940000,1452608843069
1452608843069980000,1452608843071
1452608843071960000,1452608843073
1452608843073980000,1452608843075
1452608843075950000,1452608843077
1452608843077940000,1452608843079
1452608843079970000,1452608843081
1452608843081950000,1452608843083
1452608843083950000,1452608843085
1452608843085950000,1452608843087
1452608843087940000,1452608843089
1452608843089970000,1452608843091
1452608843091960000,1452608843093
1452608843093950000,1452608843095
1452608843095930000,1452608843097
1452608843097930000,1452608843099
1452608843099960000,1452608843101
1452608843101920000,1452608843103
1452608843103920000,1452608843105
1452608843105920000,1452608843107
1452608843107930000,1452608843109
1452608843109960000,1452608843111
1452608843111910000,1452608843113
1452608843114180000,1452608843115
1452608843115950000,1452608843117
1452608843118160000,1452608843119
1452608843119940000,1452608843121
1452608843121940000,1452608843123
1452608843123940000,1452608843125
1452608843125940000,1452608843127
1452608843127940000,1452608843129
1452608843129930000,1452608843131
1452608843131950000,1452608843133
1452608843134170000,1452608843135
1452608843135940000,1452608843137
1452608843137940000,1452608843139
1452608843139940000,1452608843141
1452608843141940000,1452608843143
1452608843143940000,1452608843145
1452608843145940000,1452608843147
1452608843147940000,1452608843149
1452608843149940000,1452608843151
1452608843151940000,1452608843153
1452608843153940000,1452608843155
1452608843155940000,1452608843157
1452608843157940000,1452608843159
1452608843159940000,1452608843161
1452608843161940000,1452608843163
1452608843163940000,1452608843165
1452608843165950000,1452608843167
1452608843168180000,1452608843169
1452608843169940000,1452608843171
1452608843171950000,1452608843173
1452608843174180000,1452608843175
1452608843175940000,1452608843177
1452608843177940000,1452608843179
1452608843179940000,1452608843181
1452608843181950000,1452608843183
1452608843184170000,1452608843185
1452608843185940000,1452608843187
1452608843187940000,1452608843189
1452608843189940000,1452608843191
1452608843191950000,1452608843193
1452608843194180000,1452608843195
1452608843195940000,1452608843197
1452608843197940000,1452608843199
1452608843199940000,1452608843201
1452608843201950000,1452608843203
1452608843203940000,1452608843205
1452608843205940000,1452608843207
1452608843207940000,1452608843209
1452608843209940000,1452608843211
1452608843212170000,1452608843213
1452608843213940000,1452608843215
1452608843215960000,1452608843217
1452608843218060000,1452608843219
1452608843219980000,1452608843221
1452608843221980000,1452608843223
1452608843223980000,1452608843225
1452608843226000000,1452608843227
1452608843228000000,1452608843229
1452608843229980000,1452608843231
1452608843232000000,1452608843233
1452608843233980000,1452608843235
1452608843235990000,1452608843237
1452608843238000000,1452608843239
1452608843239980000,1452608843241
1452608843241910000,1452608843243
1452608843243980000,1452608843245
1452608843245990000,1452608843247
1452608843248000000,1452608843249
1452608843249980000,1452608843251
1452608843252000000,1452608843253
1452608843253980000,1452608843255
1452608843256090000,1452608843257
1452608843258000000,1452608843259
1452608843259980000,1452608843261
1452608843261970000,1452608843263
1452608843263970000,1452608843265
1452608843265950000,1452608843267
1452608843267940000,1452608843269
1452608843269970000,1452608843271
1452608843271970000,1452608843273
1452608843273980000,1452608843275
1452608843275960000,1452608843277
1452608843277940000,1452608843279
1452608843280110000,1452608843281
1452608843281950000,1452608843283
1452608843283950000,1452608843285
1452608843285960000,1452608843287
1452608843287940000,1452608843289
1452608843289970000,1452608843291
1452608843291960000,1452608843293
1452608843293950000,1452608843295
1452608843295960000,1452608843297
1452608843297940000,1452608843299
1452608843299970000,1452608843301
1452608843301960000,1452608843303
1452608843303950000,1452608843305
1452608843305950000,1452608843307
1452608843307940000,1452608843309
1452608843309970000,1452608843311
1452608843311970000,1452608843313
1452608843313950000,1452608843315
1452608843315950000,1452608843317
1452608843317940000,1452608843319
1452608843319970000,1452608843321
1452608843321960000,1452608843323
1452608843323950000,1452608843325
1452608843325950000,1452608843327
1452608843327950000,1452608843329
1452608843329910000,1452608843331
1452608843331960000,1452608843333
1452608843333920000,1452608843335
1452608843335930000,1452608843337
1452608843337920000,1452608843339
1452608843339910000,1452608843341
1452608843341970000,1452608843343
1452608843343920000,1452608843345
1452608843345930000,1452608843347
1452608843347930000,1452608843349
1452608843349960000,1452608843351
1452608843351900000,1452608843353
1452608843353920000,1452608843355
1452608843355910000,1452608843357
1452608843357960000,1452608843359
1452608843359920000,1452608843361
1452608843361960000,1452608843363
1452608843363920000,1452608843365
1452608843365930000,1452608843367
1452608843367930000,1452608843369
1452608843369960000,1452608843371
1452608843371920000,1452608843373
1452608843373920000,1452608843375
1452608843375930000,1452608843377
1452608843377930000,1452608843379
1452608843379960000,1452608843381
1452608843381910000,1452608843383
1452608843383970000,1452608843385
1452608843385930000,1452608843387
1452608843387920000,1452608843389
1452608843389960000,1452608843391
1452608843391920000,1452608843393
1452608843393920000,1452608843395
1452608843395920000,1452608843397
1452608843397910000,1452608843399
1452608843399940000,1452608843401
1452608843401950000,1452608843403
1452608843403940000,1452608843405
1452608843405940000,1452608843407
1452608843407940000,1452608843409
1452608843409940000,1452608843411
1452608843411950000,1452608843413
1452608843414180000,1452608843415
1452608843415940000,1452608843417
1452608843417910000,1452608843419
1452608843419940000,1452608843421
1452608843421940000,1452608843423
1452608843423940000,1452608843425
1452608843425940000,1452608843427
1452608843427940000,1452608843429
1452608843429940000,1452608843431
1452608843431940000,1452608843433
1452608843433940000,1452608843435
1452608843435940000,1452608843437
1452608843437940000,1452608843439
1452608843439940000,1452608843441
1452608843441950000,1452608843443
1452608843443950000,1452608843445
1452608843446170000,1452608843447
1452608843447940000,1452608843449
1452608843449940000,1452608843451
1452608843451940000,1452608843453
1452608843453940000,1452608843455
1452608843455940000,1452608843457
1452608843457940000,1452608843459
1452608843459940000,1452608843461
1452608843461950000,1452608843463
1452608843463940000,1452608843465
1452608843465940000,1452608843467
1452608843467940000,1452608843469
1452608843469940000,1452608843471
1452608843471940000,1452608843473
1452608843473940000,1452608843475
1452608843475940000,1452608843477
1452608843477940000,1452608843479
1452608843479940000,1452608843481
1452608843481940000,1452608843483
1452608843483940000,1452608843485
1452608843485940000,1452608843487
1452608843487940000,1452608843489
1452608843489940000,1452608843491
1452608843491950000,1452608843493
1452608843493940000,1452608843495
1452608843495940000,1452608843497
1452608843497940000,1452608843499
1452608843499940000,1452608843501
1452608843501940000,1452608843503
1452608843503940000,1452608843505
1452608843505940000,1452608843507
1452608843507940000,1452608843509
1452608843509940000,1452608843511
1452608843511950000,1452608843513
1452608843513940000,1452608843515
1452608843515940000,1452608843517
1452608843517950000,1452608843519
1452608843520180000,1452608843521
1452608843521950000,1452608843523
1452608843524170000,1452608843525
1452608843525940000,1452608843527
1452608843527980000,1452608843529
1452608843529970000,1452608843531
1452608843531980000,1452608843533
1452608843533980000,1452608843535
1452608843536000000,1452608843537
1452608843538000000,1452608843539
1452608843539980000,1452608843541
1452608843542000000,1452608843543
1452608843543980000,1452608843545
1452608843545990000,1452608843547
1452608843547990000,1452608843549
1452608843549980000,1452608843551
1452608843551990000,1452608843553
1452608843553980000,1452608843555
1452608843556000000,1452608843557
1452608843558000000,1452608843559
1452608843559980000,1452608843561
1452608843562000000,1452608843563
1452608843563980000,1452608843565
1452608843566000000,1452608843567
1452608843568000000,1452608843569
1452608843569980000,1452608843571
1452608843571990000,1452608843573
1452608843573980000,1452608843575
1452608843575990000,1452608843577
1452608843577990000,1452608843579
1452608843579980000,1452608843581
1452608843582000000,1452608843583
1452608843583980000,1452608843585
1452608843585990000,1452608843587
1452608843587990000,1452608843589
1452608843589980000,1452608843591
1452608843592000000,1452608843593
1452608843593980000,1452608843595
1452608843596000000,1452608843597
1452608843598000000,1452608843599
1452608843599980000,1452608843601
1452608843602000000,1452608843603
1452608843603980000,1452608843605
1452608843606000000,1452608843607
1452608843608000000,1452608843609
1452608843609980000,1452608843611
1452608843612000000,1452608843613
1452608843613980000,1452608843615
1452608843616000000,1452608843617
1452608843618000000,1452608843619
1452608843619970000,1452608843621
1452608843622000000,1452608843623
1452608843623970000,1452608843625
1452608843625990000,1452608843627
1452608843628000000,1452608843629
1452608843629980000,1452608843631
1452608843631990000,1452608843633
1452608843633980000,1452608843635
1452608843636000000,1452608843637
1452608843638000000,1452608843639
1452608843639980000,1452608843641
1452608843641990000,1452608843643
1452608843643980000,1452608843645
1452608843645990000,1452608843647
1452608843647990000,1452608843649
1452608843649980000,1452608843651
1452608843651990000,1452608843653
1452608843653980000,1452608843655
1452608843656000000,1452608843657
1452608843658000000,1452608843659
1452608843659980000,1452608843661
1452608843661950000,1452608843663
1452608843663950000,1452608843665
1452608843665960000,1452608843667
1452608843667940000,1452608843669
1452608843669970000,1452608843671
1452608843671960000,1452608843673
1452608843673950000,1452608843675
1452608843675950000,1452608843677
1452608843677940000,1452608843679
1452608843680080000,1452608843681
1452608843681940000,1452608843683
1452608843683950000,1452608843685
1452608843685960000,1452608843687
1452608843687940000,1452608843689
1452608843689980000,1452608843691
1452608843691970000,1452608843693
1452608843693980000,1452608843695
1452608843695950000,1452608843697
1452608843697940000,1452608843699
1452608843699980000,1452608843701
1452608843702000000,1452608843703
1452608843703940000,1452608843705
1452608843705960000,1452608843707
1452608843707940000,1452608843709
1452608843710090000,1452608843711
1452608843711970000,1452608843713
1452608843713950000,1452608843715
1452608843715950000,1452608843717
1452608843717940000,1452608843719
1452608843719970000,1452608843721
1452608843721980000,1452608843723
1452608843723980000,1452608843725
1452608843725950000,1452608843727
1452608843727950000,1452608843729
1452608843729910000,1452608843731
1452608843732180000,1452608843733
1452608843733940000,1452608843735
1452608843736170000,1452608843737
1452608843737940000,1452608843739
1452608843739940000,1452608843741
1452608843741940000,1452608843743
1452608843743950000,1452608843745
1452608843745940000,1452608843747
1452608843747940000,1452608843749
1452608843749940000,1452608843751
1452608843751940000,1452608843753
1452608843753940000,1452608843755
1452608843755940000,1452608843757
1452608843757940000,1452608843759
1452608843759940000,1452608843761
1452608843761940000,1452608843763
1452608843764170000,1452608843765
1452608843765940000,1452608843767
1452608843767940000,1452608843769
1452608843769940000,1452608843771
1452608843771940000,1452608843773
1452608843774170000,1452608843775
1452608843775940000,1452608843777
1452608843777940000,1452608843779
1452608843779940000,1452608843781
1452608843781940000,1452608843783
1452608843783940000,1452608843785
1452608843785940000,1452608843787
1452608843787940000,1452608843789
1452608843789940000,1452608843791
1452608843791940000,1452608843793
1452608843793940000,1452608843795
1452608843795940000,1452608843797
1452608843797940000,1452608843799
1452608843799940000,1452608843801
1452608843801940000,1452608843803
1452608843803940000,1452608843805
1452608843806170000,1452608843807
1452608843807940000,1452608843809
1452608843809940000,1452608843811
1452608843811940000,1452608843813
1452608843813940000,1452608843815
1452608843815940000,1452608843817
1452608843817940000,1452608843819
1452608843819940000,1452608843821
1452608843821950000,1452608843823
1452608843824180000,1452608843825
1452608843825940000,1452608843827
1452608843827940000,1452608843829
1452608843829940000,1452608843831
1452608843831940000,1452608843833
1452608843833940000,1452608843835
1452608843835940000,1452608843837
1452608843837940000,1452608843839
1452608843839940000,1452608843841
1452608843841940000,1452608843843
1452608843843940000,1452608843845
1452608843845940000,1452608843847
1452608843847940000,1452608843849
1452608843849940000,1452608843851
1452608843851950000,1452608843853
1452608843854170000,1452608843855
1452608843855940000,1452608843857
1452608843857940000,1452608843859
1452608843859940000,1452608843861
1452608843861950000,1452608843863
1452608843864180000,1452608843865
1452608843865940000,1452608843867
1452608843867940000,1452608843869
1452608843869940000,1452608843871
1452608843871940000,1452608843873
1452608843873940000,1452608843875
1452608843875940000,1452608843877
1452608843877940000,1452608843879
1452608843879940000,1452608843881
1452608843881950000,1452608843883
1452608843884170000,1452608843885
1452608843885940000,1452608843887
1452608843887940000,1452608843889
1452608843889940000,1452608843891
1452608843891950000,1452608843893
1452608843894170000,1452608843895
1452608843895940000,1452608843897
1452608843897940000,1452608843899
1452608843899940000,1452608843901
1452608843901940000,1452608843903
1452608843903940000,1452608843905
1452608843905940000,1452608843907
1452608843907940000,1452608843909
1452608843909940000,1452608843911
1452608843911950000,1452608843913
1452608843914180000,1452608843915
1452608843915940000,1452608843917
1452608843917940000,1452608843919
1452608843919940000,1452608843921
1452608843921950000,1452608843923
1452608843923940000,1452608843925
1452608843925940000,1452608843927
1452608843927940000,1452608843929
1452608843929940000,1452608843931
1452608843931950000,1452608843933
1452608843934170000,1452608843935
1452608843935940000,1452608843937
1452608843937940000,1452608843939
1452608843939940000,1452608843941
1452608843941950000,1452608843943
1452608843944180000,1452608843945
1452608843945940000,1452608843947
1452608843947940000,1452608843949
1452608843949940000,1452608843951
1452608843951940000,1452608843953
1452608843953940000,1452608843955
1452608843955940000,1452608843957
1452608843957940000,1452608843959
1452608843959940000,1452608843961
1452608843961950000,1452608843963
1452608843964170000,1452608843965
1452608843965940000,1452608843967
1452608843967940000,1452608843969
1452608843969940000,1452608843971
1452608843971940000,1452608843973
1452608843973940000,1452608843975
1452608843975940000,1452608843977
1452608843977940000,1452608843979
1452608843979940000,1452608843981
1452608843981950000,1452608843983
1452608843984170000,1452608843985
1452608843985940000,1452608843987
1452608843987940000,1452608843989
1452608843989940000,1452608843991
1452608843991950000,1452608843993
1452608843994180000,1452608843995
1452608843995940000,1452608843997
1452608843997940000,1452608843999
1452608843999940000,1452608844001
1452608844001950000,1452608844003
1452608844003950000,1452608844005
1452608844006010000,1452608844007
1452608844007980000,1452608844009
1452608844009980000,1452608844011
1452608844011990000,1452608844013
1452608844013980000,1452608844015
1452608844015990000,1452608844017
1452608844018000000,1452608844019
1452608844019980000,1452608844021
1452608844021990000,1452608844023
1452608844023960000,1452608844025
1452608844025990000,1452608844027
1452608844027990000,1452608844029
1452608844029980000,1452608844031
1452608844032000000,1452608844033
1452608844033970000,1452608844035
1452608844035990000,1452608844037
1452608844038000000,1452608844039
1452608844039980000,1452608844041
1452608844042000000,1452608844043
1452608844043980000,1452608844045
1452608844045990000,1452608844047
1452608844047990000,1452608844049
1452608844049980000,1452608844051
1452608844052000000,1452608844053
1452608844053980000,1452608844055
1452608844055990000,1452608844057
1452608844057990000,1452608844059
